City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,bay roberts,47.5999,-53.2648,11.48,76,0,1.79,CA,1684953072
110,arraial do cabo,-22.9661,-42.0278,25.98,69,0,6.17,BR,1684953108
111,sisimiut,66.9395,-53.6735,1.6,67,22,1.21,GL,1684953078
112,yuzhno-kurilsk,44.0306,145.8556,6.02,74,100,1.2,RU,1684953109
113,dudinka,69.4058,86.1778,-0.53,92,100,1.0,RU,1684953109
114,sabirabad,40.0095,48.4752,25.25,51,50,3.33,AZ,1684953109
115,puerto leguizamo,-0.1934,-74.7819,30.17,63,59,1.64,CO,1684953109
116,padre bernardo,-15.35,-48.5,30.13,28,1,1.68,BR,1684953109
117,lihue,21.9789,-159.3672,24.77,81,40,6.17,US,1684953109
118,remire-montjoly,4.9167,-52.2667,29.02,70,20,5.14,GF,1684953109
119,usinsk,65.9939,57.5281,15.33,65,58,6.25,RU,1684953109
120,ulsteinvik,62.3432,5.8487,10.07,76,67,8.94,NO,1684953109
121,lafollette,36.3829,-84.1199,27.45,30,0,3.26,US,1684953109
122,bilibino,68.0546,166.4372,3.42,71,40,1.36,RU,1684953109
123,punta arenas,-53.15,-70.9167,5.01,87,75,4.63,CL,1684953110
124,hermanus,-34.4187,19.2345,15.67,64,3,4.88,ZA,1684953110
125,podporozh'ye,60.9112,34.1706,14.58,76,90,1.11,RU,1684953110
126,ust-nera,64.5667,143.2,1.01,97,100,2.02,RU,1684953110
127,uturoa,-16.7333,-151.4333,27.28,67,34,0.59,PF,1684953110
128,zhangye,38.9342,100.4517,13.26,26,100,2.53,CN,1684953110
129,kozlovka,55.8428,48.2492,18.84,51,81,4.54,RU,1684953110
130,la toma,-33.0526,-65.6238,21.05,59,75,4.49,AR,1684953110
131,allapalli,19.4167,80.0667,32.48,35,23,2.16,IN,1684953110
132,muzo,5.5353,-74.1078,28.51,65,99,1.97,CO,1684953110
133,mbandaka,0.0487,18.2603,25.09,79,13,1.46,CD,1684953110
134,shache,38.4167,77.2406,19.51,38,100,7.78,CN,1684953110
135,vorkuta,67.5,64.0,9.9,74,0,3.34,RU,1684953111
136,eenhana,-17.4667,16.3333,20.93,25,2,1.16,NA,1684953111
137,nuku'alofa,-21.1333,-175.2,22.19,73,75,2.06,TO,1684953111
138,sanctuary point,-35.1114,150.629,13.44,50,47,4.42,AU,1684953111
139,upata,8.0086,-62.3989,31.22,55,100,3.06,VE,1684953111
140,tazacorte,28.629,-17.9293,20.54,76,75,3.13,ES,1684953111
141,trairi,-3.2778,-39.2689,28.1,73,88,4.96,BR,1684953111
142,new norfolk,-42.7826,147.0587,17.18,54,20,3.13,AU,1684953111
143,al muwayh,22.4333,41.7583,26.76,35,26,4.41,SA,1684953111
144,kloulklubed,7.0419,134.2556,28.89,75,97,8.24,PW,1684953111
145,yokadouma,3.5167,15.05,27.47,55,95,0.41,CM,1684953112
146,robore,-18.3333,-59.75,33.05,58,20,5.14,BO,1684953112
147,minas de marcona,-15.2119,-75.1103,19.88,61,97,5.82,PE,1684953112
148,vadso,70.0744,29.7487,12.49,58,0,12.35,NO,1684953112
149,afaahiti,-17.75,-149.2833,25.93,76,24,1.58,PF,1684953112
150,kapuskasing,49.4169,-82.4331,9.0,40,0,3.6,CA,1684953112
151,kutum,14.2,24.6667,30.21,13,0,3.25,SD,1684953112
152,coahuayana de hidalgo,18.7,-103.6583,33.12,49,100,3.45,MX,1684953112
153,san jeronimo de juarez,17.1333,-100.4667,32.63,55,74,4.43,MX,1684953112
154,vernon,50.2581,-119.2691,18.95,62,23,1.03,CA,1684953112
155,warmbad,-28.45,18.7333,19.42,27,100,2.57,NA,1684953112
156,smithers,54.7804,-127.1743,16.18,48,40,3.09,CA,1684952924
157,sturgeon bay,44.8342,-87.377,14.2,35,0,5.14,US,1684953113
158,rahimah,26.7079,50.0619,35.12,55,100,1.44,SA,1684953113
159,macau,22.2006,113.5461,25.89,89,40,5.14,MO,1684953113
160,zhob,31.3411,69.4481,25.15,36,3,2.17,PK,1684953113
161,puerto aysen,-45.4,-72.7,7.02,76,100,0.0,CL,1684953113
162,kununurra,-15.7667,128.7333,12.99,94,44,0.0,AU,1684953113
163,avarua,-21.2078,-159.775,26.03,69,75,5.14,CK,1684953113
164,kalianget,-7.05,113.9333,26.7,78,5,4.56,ID,1684953113
165,puerto francisco de orellana,-0.4667,-76.9667,28.03,78,75,1.54,EC,1684953113
166,famagusta,35.125,33.95,23.0,84,96,2.33,CY,1684953113
167,san sebastian de la gomera,28.0916,-17.1133,21.32,60,20,3.09,ES,1684953113
168,kailua-kona,19.6406,-155.9956,26.82,74,0,2.06,US,1684953114
169,dawei,14.0833,98.2,26.22,87,100,1.39,MM,1684953114
170,palikir - national government center,6.9248,158.1611,27.41,83,100,2.06,FM,1684953114
171,erenhot,43.6475,111.9767,13.22,60,96,9.86,CN,1684953114
172,invercargill,-46.4,168.35,8.73,94,84,2.48,NZ,1684953114
173,huarmey,-10.0681,-78.1522,24.86,70,37,5.47,PE,1684953114
174,namibe,-15.1961,12.1522,20.96,77,2,5.89,AO,1684953114
175,turpan,42.9333,89.1667,26.07,16,100,0.93,CN,1684953114
176,pinotepa nacional,16.3167,-98.0167,35.26,39,15,4.61,MX,1684953114
177,rexburg,43.826,-111.7897,14.73,82,100,0.0,US,1684953115
178,polyarnyy,69.1989,33.4478,13.52,55,100,10.68,RU,1684953115
179,luderitz,-26.6481,15.1594,13.41,77,84,1.91,NA,1684953115
180,concepcion del oro,24.6333,-101.4167,25.11,27,28,1.21,MX,1684953115
181,yakeshi,49.2833,120.7333,13.3,78,100,0.71,CN,1684953115
182,west island,-12.1568,96.8225,27.99,78,40,5.14,CC,1684953115
183,luau,-10.7073,22.2247,21.5,52,43,0.79,AO,1684953115
184,minggang,32.4586,114.0486,15.92,89,0,1.73,CN,1684953115
185,abbeville,50.1,1.8333,16.94,89,100,3.4,FR,1684953115
186,gladstone,-23.85,151.25,14.32,82,0,3.6,AU,1684953085
187,san luis de la loma,17.2706,-100.8939,32.01,56,100,4.99,MX,1684953116
188,kerikeri,-35.2268,173.9474,10.6,95,15,2.07,NZ,1684953116
189,east london,-33.0153,27.9116,21.52,46,0,3.09,ZA,1684953116
190,tazovsky,67.4667,78.7,-1.05,92,0,1.24,RU,1684953116
191,cabedelo,-6.9811,-34.8339,29.37,77,9,3.42,BR,1684953116
192,whitehorse,60.7161,-135.0538,12.83,53,75,4.63,CA,1684952922
193,ruiz,21.95,-105.15,37.21,22,100,3.75,MX,1684953116
194,barakani,-12.1356,44.4317,25.56,72,5,3.52,KM,1684953116
195,qurayyat,31.3318,37.3428,27.1,10,0,3.6,SA,1684953116
196,callao,-12.0667,-77.15,25.16,61,0,6.17,PE,1684953116
197,gassol,8.5333,10.4667,31.43,52,100,2.13,NG,1684953117
198,constantia,44.1833,28.65,17.61,82,4,1.9,RO,1684953117
199,ixtapa,20.7,-105.2,29.57,54,40,5.14,MX,1684953117
200,beylikova,39.6869,31.2056,15.52,68,24,1.08,TR,1684953117
201,gadzhiyevo,69.2551,33.3362,13.49,55,100,10.99,RU,1684953117
202,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1684953117
203,don luan,11.5333,106.9167,26.02,81,100,1.24,VN,1684953117
204,kodiak,57.79,-152.4072,6.73,93,100,3.09,US,1684952899
205,mwinilunga,-11.7358,24.4293,18.2,64,57,1.52,ZM,1684953117
206,vilyuchinsk,52.9306,158.4028,2.15,85,4,3.42,RU,1684953118
207,wladyslawowo,54.7909,18.4009,19.75,88,20,4.05,PL,1684953118
208,saint-pierre,-21.3393,55.4781,21.98,78,0,2.57,RE,1684952887
209,viedma,-40.8135,-62.9967,18.86,22,100,6.21,AR,1684953102
210,pakxan,18.3778,103.6601,24.79,91,100,0.72,LA,1684953118
211,hofors,60.5457,16.2867,20.45,53,100,4.33,SE,1684953118
212,iskitim,54.6366,83.3045,6.77,54,3,2.74,RU,1684953118
213,morropon,-5.1822,-79.9689,28.69,63,80,1.75,PE,1684953118
214,grand falls-windsor,48.9332,-55.6649,19.72,33,8,0.89,CA,1684953115
215,lower hutt,-41.2167,174.9167,8.95,96,12,4.12,NZ,1684953118
216,bam,29.106,58.357,31.22,15,19,2.89,IR,1684952893
217,surskoye,54.4821,46.7214,17.85,61,67,2.83,RU,1684953118
218,guankou,28.15,113.6333,18.89,94,99,1.35,CN,1684953118
219,al 'amarah,31.8406,47.1396,36.87,14,100,2.71,IQ,1684953119
220,norderney,53.7,7.15,12.77,78,1,5.68,DE,1684953119
221,kulhudhuffushi,6.6221,73.07,28.97,73,8,2.65,MV,1684953119
222,nguigmi,14.2495,13.1092,31.32,47,93,4.08,NE,1684953119
223,san pedro,14.35,121.0167,26.86,95,100,1.03,PH,1684953119
224,tafalla,42.5269,-1.6745,19.49,64,34,7.33,ES,1684952837
225,port sudan,19.6175,37.2164,30.12,73,10,3.14,SD,1684953119
226,arkhangel'sk,64.5401,40.5433,15.21,68,1,1.86,RU,1684953119
